episod,score,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
27,11007.3090474,1.41132986967,-1.11643404178,0.0,2.80189351477,5.62903925537,0.0,2.84750691595,-1.26971343277,-13.7472152628,-1.7920633684,-8.45508337901,0.0,588.303100405,251.379441935,566.954609509,457.600820823
28,11044.1429031,2.5714473024,-2.21495871994,0.0,1.08271437061,1.71669754626,0.0,2.33340588318,-2.08676611789,-14.3942839965,-6.36326474673,-9.23849214493,0.0,520.04859667,300.801049182,526.170195278,379.923468335
29,10887.0091215,-0.429390703391,-1.44342041677,0.0,0.765331529734,3.41769392229,0.0,-0.113811443908,-1.02127921316,-14.2950221569,-1.22979447404,-8.81336210374,0.0,565.943624352,316.906357066,496.43389589,431.386806139
30,12407.9508531,6.79131194951,-4.43219626773,0.0,4.86903275326,1.51432098536,0.0,2.45666198818,-4.70107565384,-15.436532784,-14.6017813399,-15.1376780769,0.0,548.001693345,215.638644228,601.059479087,296.396809924
31,10761.744219,-1.06225262787,1.46824745834,0.0,1.42091520079,1.2736181896,0.0,-0.529592810282,2.49968288121,-10.8028167114,-5.47797834973,-13.2317150529,0.0,649.634946964,275.017741018,593.025346291,450.452646815
32,10914.5011578,0.32212207241,0.0815596314755,0.0,1.43023075732,0.646052105599,0.0,0.758898101059,0.439603323786,-12.1461995005,-7.11358180773,-14.1502508031,0.0,566.195374775,299.041965574,555.763203617,450.986871588
33,11574.4618808,-0.126718106782,-4.31790079768,0.0,5.3665298405,2.37353619965,0.0,-1.74008461034,-3.53459449708,-16.6435520088,-12.1211478284,-16.2100261453,0.0,631.651730634,178.726648424,611.155639137,376.233349764
34,12036.7420793,-2.11742524822,12.6840281654,0.0,4.88595041651,5.67580529299,0.0,-0.152688800612,8.43001505019,-18.0295873154,10.626479198,-3.59549481526,0.0,612.197250435,431.660278699,670.175811756,700.416447925
35,11326.5850796,-10.69372632,-0.663646512071,0.0,4.03723879758,4.81913068989,0.0,-7.9548702853,-1.638896047,-16.5181031371,0.222928069052,-22.0779320988,0.0,774.389494357,187.201851028,588.250913723,443.590849343
36,10999.2885648,-3.44258688247,1.28344166181,0.0,2.28023024159,5.05800491925,0.0,-5.16529514893,2.54606666014,-13.5088621903,4.80198995849,-15.2273182758,0.0,588.269606083,305.505745249,540.770501222,501.596470836
37,10737.2098293,-4.20495702687,4.22159492435,0.0,6.03215533684,5.34733779632,0.0,-5.87906041806,3.84851863973,-11.7821341798,5.95732717578,-17.5900479949,0.0,647.542075949,284.496968841,609.001653555,650.580743067
38,11242.4996555,-7.76015279211,-5.23524389986,0.0,0.490637483167,1.37291149952,0.0,-5.08325566147,-5.94137266517,-17.0122676722,-9.87338021819,-21.2095819661,0.0,712.997313105,247.593971254,522.099670466,366.805945612
39,11004.3404974,-3.68400010403,-3.48964058574,0.0,3.56317801867,3.8210812685,0.0,-2.88831919736,-5.41334016411,-16.5971606347,-12.8860183081,-21.3991753328,0.0,733.745010503,169.44472019,609.105275326,401.571128024
40,11117.1710165,-0.723168282165,-2.03273470118,0.0,5.7090529966,1.89301834565,0.0,0.819220354415,-0.258483975771,-14.9521433718,-9.44943569097,-19.7592397072,0.0,664.750097136,228.972688285,515.521871177,421.105046855
41,10476.6523813,1.42530183957,-2.28106036511,0.0,4.4958067193,3.01887197342,0.0,3.82311709422,-2.06061707123,-12.4401713347,-13.5126753247,-22.7979070207,0.0,739.146907833,113.463660147,600.480214215,388.198589092
