time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.03144368452e-08,-1.11817149963e-07,10.0075145891,6.28297302328,6.28276338869,0.0,1.61502413517e-05,-1.54855124738e-05,0.25046436367,-0.0117689175484,-0.0273128093934,0.0,483.2438805060235,481.1810967568891,482.80219967747973,481.9136613929147
0.12000000000000001,1.58706743572e-05,-8.04465723026e-06,10.0254165949,6.28185535118,6.28098374318,0.0,0.00068801036021,-0.000335511359417,0.346244142494,-0.0381389799949,-0.0348262067565,0.0,436.1111628171728,435.4829476803447,436.5839286664015,434.3784703170607
0.18,0.000116158300079,-6.65466379405e-05,10.0514320156,6.28062286234,6.27912977245,0.0,0.00287657573599,-0.0017986477453,0.520871665065,0.00153395691117,-0.0240204777377,0.0,460.45293106717577,461.3065389878101,457.78899697168157,460.9342968085905
0.23999999999999996,0.000370539983251,-0.000222772164897,10.0839783217,6.28059323791,6.27784175613,0.0,0.00573002356428,-0.00340557345945,0.563984007724,-0.00489376639993,-0.0167953793873,0.0,418.77916248283793,419.4070165638181,418.7027702776135,418.1432866345606
0.3,0.00083570227915,-0.000484926522702,10.1220995033,6.28052666511,6.27647292276,0.0,0.00989924382875,-0.00535122495159,0.706643411108,0.0055504083486,-0.0389330909225,0.0,451.95368440857567,450.1660429882264,449.69258111944765,450.537703464278
0.36000000000000004,0.00159759698987,-0.000867330442623,10.1704155985,6.28065473212,6.274523917,0.0,0.0157428368127,-0.0073671437219,0.903756039298,-0.00576502713045,-0.0219811239034,0.0,465.73607347271593,467.05947494184426,468.52203739156334,467.6415468055611
0.4200000000000001,0.0027241301583,-0.00136215758488,10.2274150257,6.28052700465,6.27320325633,0.0,0.0219407066634,-0.00914993513234,0.996147182936,0.00429994217362,-0.0220708464571,0.0,435.4859531250658,435.47842106288755,434.7582218247636,435.60064811236833
0.48000000000000015,0.00423548238507,-0.00196097789583,10.2886033283,6.28041939013,6.27209640121,0.0,0.0285509547708,-0.0107995750176,1.04341944494,-0.018200124372,-0.0120400577412,0.0,420.7501944740461,421.6176440382888,421.52746566348196,419.578856171971
0.5400000000000001,0.00618477849157,-0.00267151125589,10.3545956321,6.27913222873,6.27128346387,0.0,0.0365038932783,-0.0130071447058,1.15621498015,-0.0289135750358,-0.0167516525744,0.0,442.5997605697706,442.2119751350871,442.15936182663347,441.2759438841963
0.6000000000000002,0.00861396004366,-0.00353834042509,10.4260738166,6.27746292453,6.26996161327,0.0,0.0445785444599,-0.0160528319008,1.22631600206,-0.0257232158056,-0.035524661079,0.0,427.7649695856826,426.1634120967799,430.25836210022703,430.5281238778679
0.6600000000000003,0.0115293670242,-0.00460772675714,10.4996644659,6.27583096313,6.26764257636,0.0,0.0527950250269,-0.0197317462821,1.22670142319,-0.0303278473444,-0.0457765924938,0.0,405.397884071409,404.4748212169867,406.5348895806307,406.1218761328005
0.7200000000000003,0.0150902423635,-0.00597928006146,10.5801066991,6.27453916803,6.26448647837,0.0,0.0662464461688,-0.0261677537654,1.4544371092,-0.00806568159536,-0.0719564914221,0.0,478.4619107457694,476.462989610568,476.14081499949765,477.8407064610951
0.7800000000000004,0.0195440428005,-0.00776237670851,10.6742931986,6.27501479068,6.26036035644,0.0,0.0827186550927,-0.0332529284571,1.68479144436,0.0286684339542,-0.063056298069,0.0,478.11578594735414,478.7900931101413,477.27510073003145,480.0702627448874
0.8400000000000004,0.0250477373629,-0.00993536490411,10.7807186626,6.27821535206,6.25693014565,0.0,0.101138261928,-0.0388734167921,1.8624432076,0.0803887696987,-0.047435687133,0.0,462.16441470887264,463.39167776316737,462.5458485536632,466.6022136515415
0.9000000000000005,0.0316694307873,-0.012351584155,10.8954702679,0.000262259797839,6.2536873424,0.0,0.119885308848,-0.0411512098288,1.96243636076,0.0981857316813,-0.0724951510932,0.0,440.91944939300026,438.8421958404139,440.12245159082306,441.5991027239122
0.9600000000000005,0.0395072709042,-0.0147920377209,11.0168450416,0.00592726217296,6.2496581467,0.0,0.141807640772,-0.0395893547416,2.08316107912,0.0855555910359,-0.0581816604542,0.0,445.9800341537267,447.1441041094283,448.46669500404124,447.44712229400847
1.0200000000000005,0.0486920429062,-0.0170314843577,11.1439632114,0.0109734386514,6.2459821695,0.0,0.164695690217,-0.0345627361762,2.15396293353,0.0810288699853,-0.0682827149808,0.0,432.1875763401239,431.33256407793334,432.31358144886326,431.9380121052889
1.0800000000000005,0.0592426810961,-0.0188962228715,11.273160683,0.0157826912982,6.24182609273,0.0,0.187350758299,-0.0271747325768,2.15260092847,0.0783460344316,-0.0713139038074,0.0,408.8277692325431,408.5535026238174,408.13307800527343,407.89936330363537
1.1400000000000006,0.0714308047329,-0.020152872535,11.4071198503,0.0201886660933,6.23719910847,0.0,0.219395650842,-0.0142118228413,2.31236218457,0.0611483313262,-0.0924279228529,0.0,461.00662012611485,459.3306194151361,460.734282498638,459.37655855444007
1.2000000000000006,0.0855926127828,-0.0205615024571,11.5494300722,0.0246913300981,6.23189444498,0.0,0.253219495249,0.00102239264743,2.43102570679,0.0938906913794,-0.0813965569449,0.0,447.78476992344,448.67474084674683,446.8973982999095,449.56226092701365
1.2600000000000007,0.101873626457,-0.019964176526,11.6984643277,0.0302510964751,6.22707380444,0.0,0.289966593483,0.0194571841723,2.53650705089,0.0900883115805,-0.0783191150989,0.0,445.38910620238084,445.63553755347016,444.09964074214895,443.7949058862678
